Name,Description,Range,Increment,Value,Read_only
BATT8_FS_LOW_ACT,What action the vehicle should perform if it hits a low battery failsafe,,,0|1|2|3|4|5|,
BATT8_FS_CRT_ACT,What action the vehicle should perform if it hits a critical battery failsafe,,,0|1|2|3|4|5|,
BATT8_ARM_VOLT,Battery voltage level which is required to arm the aircraft. Set to 0 to allow arming at any voltage.,,0.1,,
BATT8_ARM_MAH,"Battery capacity remaining which is required to arm the aircraft. Set to 0 to allow arming at any capacity. Note that execept for smart batteries rebooting the vehicle will always reset the remaining capacity estimate, which can lead to this check not providing sufficent protection, it is recommended to always use this in conjunction with the BATT8__ARM_VOLT parameter.",,50,,
BATT8_OPTIONS,This sets options to change the behaviour of the battery monitor,,,,
BATT8_VOLT_PIN,Sets the analog input pin that should be used for voltage monitoring.,,,-1|2|5|13|14|16|100|,
BATT8_CURR_PIN,Sets the analog input pin that should be used for current monitoring.,,,-1|3|4|14|15|17|101|,
BATT8_VOLT_MULT,"Used to convert the voltage of the voltage sensing pin (BATT8_VOLT_PIN) to the actual battery's voltage (pin_voltage * VOLT_MULT). For the 3DR Power brick with a Pixhawk, this should be set to 10.1. For the Pixhawk with the 3DR 4in1 ESC this should be 12.02. For the PX using the PX4IO power supply this should be set to 1.",,,,
BATT8_AMP_PERVLT,Number of amps that a 1V reading on the current sensor corresponds to. With a Pixhawk using the 3DR Power brick this should be set to 17. For the Pixhawk with the 3DR 4in1 ESC this should be 17.,,,,
BATT8_AMP_OFFSET,Voltage offset at zero current on current sensor,,,,
BATT8_VLT_OFFSET,Voltage offset on voltage pin. This allows for an offset due to a diode. This voltage is subtracted before the scaling is applied,,,,
BATT8_I2C_BUS,Battery monitor I2C bus number,0 3,,,
BATT8_I2C_ADDR,Battery monitor I2C address,0 127,,,
BATT8_SUM_MASK,"0: sum of remaining battery monitors, If none 0 sum of specified monitors. Current will be summed and voltages averaged.",,,,
BATT8_CURR_MULT,Multiplier applied to all current related reports to allow for adjustment if no UAVCAN param access or current splitting applications,.1 10,,,
BATT9_MONITOR,Controls enabling monitoring of the battery's voltage and current,,,0|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,
BATT9_CAPACITY,Capacity of the battery in mAh when full,,50,,
BATT9_SERIAL_NUM,"Battery serial number, automatically filled in for SMBus batteries, otherwise will be -1. With DroneCan it is the battery_id.",,,,
BATT9_LOW_TIMER,This is the timeout in seconds before a low voltage event will be triggered. For aircraft with low C batteries it may be necessary to raise this in order to cope with low voltage on long takeoffs. A value of zero disables low voltage errors.,0 120,1,,
BATT9_FS_VOLTSRC,Voltage type used for detection of low voltage event,,,0|1|,
BATT9_LOW_VOLT,Battery voltage that triggers a low battery failsafe. Set to 0 to disable. If the battery voltage drops below this voltage continuously for more then the period specified by the BATT9_LOW_TIMER parameter then the vehicle will perform the failsafe specified by the BATT9_FS_LOW_ACT parameter.,,0.1,,
BATT9_LOW_MAH,Battery capacity at which the low battery failsafe is triggered. Set to 0 to disable battery remaining failsafe. If the battery capacity drops below this level the vehicle will perform the failsafe specified by the BATT9_FS_LOW_ACT parameter.,,50,,
BATT9_CRT_VOLT,Battery voltage that triggers a critical battery failsafe. Set to 0 to disable. If the battery voltage drops below this voltage continuously for more then the period specified by the BATT9_LOW_TIMER parameter then the vehicle will perform the failsafe specified by the BATT9_FS_CRT_ACT parameter.,,0.1,,
BATT9_CRT_MAH,Battery capacity at which the critical battery failsafe is triggered. Set to 0 to disable battery remaining failsafe. If the battery capacity drops below this level the vehicle will perform the failsafe specified by the BATT9__FS_CRT_ACT parameter.,,50,,
BATT9_FS_LOW_ACT,What action the vehicle should perform if it hits a low battery failsafe,,,0|1|2|3|4|5|,
BATT9_FS_CRT_ACT,What action the vehicle should perform if it hits a critical battery failsafe,,,0|1|2|3|4|5|,
BATT9_ARM_VOLT,Battery voltage level which is required to arm the aircraft. Set to 0 to allow arming at any voltage.,,0.1,,
BATT9_ARM_MAH,"Battery capacity remaining which is required to arm the aircraft. Set to 0 to allow arming at any capacity. Note that execept for smart batteries rebooting the vehicle will always reset the remaining capacity estimate, which can lead to this check not providing sufficent protection, it is recommended to always use this in conjunction with the BATT9__ARM_VOLT parameter.",,50,,
BATT9_OPTIONS,This sets options to change the behaviour of the battery monitor,,,,
BATT9_VOLT_PIN,Sets the analog input pin that should be used for voltage monitoring.,,,-1|2|5|13|14|16|100|,
BATT9_CURR_PIN,Sets the analog input pin that should be used for current monitoring.,,,-1|3|4|14|15|17|101|,
BATT9_VOLT_MULT,"Used to convert the voltage of the voltage sensing pin (BATT9_VOLT_PIN) to the actual battery's voltage (pin_voltage * VOLT_MULT). For the 3DR Power brick with a Pixhawk, this should be set to 10.1. For the Pixhawk with the 3DR 4in1 ESC this should be 12.02. For the PX using the PX4IO power supply this should be set to 1.",,,,
BATT9_AMP_PERVLT,Number of amps that a 1V reading on the current sensor corresponds to. With a Pixhawk using the 3DR Power brick this should be set to 17. For the Pixhawk with the 3DR 4in1 ESC this should be 17.,,,,
BATT9_AMP_OFFSET,Voltage offset at zero current on current sensor,,,,
BATT9_VLT_OFFSET,Voltage offset on voltage pin. This allows for an offset due to a diode. This voltage is subtracted before the scaling is applied,,,,
BATT9_I2C_BUS,Battery monitor I2C bus number,0 3,,,
BATT9_I2C_ADDR,Battery monitor I2C address,0 127,,,
BATT9_SUM_MASK,"0: sum of remaining battery monitors, If none 0 sum of specified monitors. Current will be summed and voltages averaged.",,,,
BATT9_CURR_MULT,Multiplier applied to all current related reports to allow for adjustment if no UAVCAN param access or current splitting applications,.1 10,,,
BATT_MONITOR,Controls enabling monitoring of the battery's voltage and current,,,0|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,
BATT_CAPACITY,Capacity of the battery in mAh when full,,50,,
BATT_SERIAL_NUM,"Battery serial number, automatically filled in for SMBus batteries, otherwise will be -1. With DroneCan it is the battery_id.",,,,
BATT_LOW_TIMER,This is the timeout in seconds before a low voltage event will be triggered. For aircraft with low C batteries it may be necessary to raise this in order to cope with low voltage on long takeoffs. A value of zero disables low voltage errors.,0 120,1,,
BATT_FS_VOLTSRC,Voltage type used for detection of low voltage event,,,0|1|,
BATT_LOW_VOLT,Battery voltage that triggers a low battery failsafe. Set to 0 to disable. If the battery voltage drops below this voltage continuously for more then the period specified by the BATT_LOW_TIMER parameter then the vehicle will perform the failsafe specified by the BATT_FS_LOW_ACT parameter.,,0.1,,
BATT_LOW_MAH,Battery capacity at which the low battery failsafe is triggered. Set to 0 to disable battery remaining failsafe. If the battery capacity drops below this level the vehicle will perform the failsafe specified by the BATT_FS_LOW_ACT parameter.,,50,,
BATT_CRT_VOLT,Battery voltage that triggers a critical battery failsafe. Set to 0 to disable. If the battery voltage drops below this voltage continuously for more then the period specified by the BATT_LOW_TIMER parameter then the vehicle will perform the failsafe specified by the BATT_FS_CRT_ACT parameter.,,0.1,,
BATT_CRT_MAH,Battery capacity at which the critical battery failsafe is triggered. Set to 0 to disable battery remaining failsafe. If the battery capacity drops below this level the vehicle will perform the failsafe specified by the BATT__FS_CRT_ACT parameter.,,50,,
BATT_FS_LOW_ACT,What action the vehicle should perform if it hits a low battery failsafe,,,0|1|2|3|4|5|,
BATT_FS_CRT_ACT,What action the vehicle should perform if it hits a critical battery failsafe,,,0|1|2|3|4|5|,
BATT_ARM_VOLT,Battery voltage level which is required to arm the aircraft. Set to 0 to allow arming at any voltage.,,0.1,,
BATT_ARM_MAH,"Battery capacity remaining which is required to arm the aircraft. Set to 0 to allow arming at any capacity. Note that execept for smart batteries rebooting the vehicle will always reset the remaining capacity estimate, which can lead to this check not providing sufficent protection, it is recommended to always use this in conjunction with the BATT__ARM_VOLT parameter.",,50,,
BATT_OPTIONS,This sets options to change the behaviour of the battery monitor,,,,
BATT_VOLT_PIN,Sets the analog input pin that should be used for voltage monitoring.,,,-1|2|5|13|14|16|100|,
BATT_CURR_PIN,Sets the analog input pin that should be used for current monitoring.,,,-1|3|4|14|15|17|101|,
BATT_VOLT_MULT,"Used to convert the voltage of the voltage sensing pin (BATT_VOLT_PIN) to the actual battery's voltage (pin_voltage * VOLT_MULT). For the 3DR Power brick with a Pixhawk, this should be set to 10.1. For the Pixhawk with the 3DR 4in1 ESC this should be 12.02. For the PX using the PX4IO power supply this should be set to 1.",,,,
BATT_AMP_PERVLT,Number of amps that a 1V reading on the current sensor corresponds to. With a Pixhawk using the 3DR Power brick this should be set to 17. For the Pixhawk with the 3DR 4in1 ESC this should be 17.,,,,
BATT_AMP_OFFSET,Voltage offset at zero current on current sensor,,,,
BATT_VLT_OFFSET,Voltage offset on voltage pin. This allows for an offset due to a diode. This voltage is subtracted before the scaling is applied,,,,
BATT_I2C_BUS,Battery monitor I2C bus number,0 3,,,
BATT_I2C_ADDR,Battery monitor I2C address,0 127,,,
BATT_SUM_MASK,"0: sum of remaining battery monitors, If none 0 sum of specified monitors. Current will be summed and voltages averaged.",,,,
BATT_CURR_MULT,Multiplier applied to all current related reports to allow for adjustment if no UAVCAN param access or current splitting applications,.1 10,,,
BCN_TYPE,What type of beacon based position estimation device is connected,,,0|1|2|3|10|,
BCN_LATITUDE,Beacon origin's latitude,-90 90,0.000001,,
BCN_LONGITUDE,Beacon origin's longitude,-180 180,0.000001,,
BCN_ALT,Beacon origin's altitude above sealevel in meters,0 10000,1,,
BCN_ORIENT_YAW,Beacon systems rotation from north in degrees,-180 +180,1,,
BRD_SER1_RTSCTS,"Enable flow control on serial 1 (telemetry 1). You must have the RTS and CTS pins connected to your radio. The standard DF13 6 pin connector for a 3DR radio does have those pins connected. If this is set to 2 then flow control will be auto-detected by checking for the output buffer filling on startup. Note that the PX4v1 does not have hardware flow control pins on this port, so you should leave this disabled.",,,0|1|2|,
BRD_SER2_RTSCTS,Enable flow control on serial 2 (telemetry 2). You must have the RTS and CTS pins connected to your radio. The standard DF13 6 pin connector for a 3DR radio does have those pins connected. If this is set to 2 then flow control will be auto-detected by checking for the output buffer filling on startup.,,,0|1|2|,
BRD_SER3_RTSCTS,Enable flow control on serial 3. You must have the RTS and CTS pins connected to your radio. The standard DF13 6 pin connector for a 3DR radio does have those pins connected. If this is set to 2 then flow control will be auto-detected by checking for the output buffer filling on startup.,,,0|1|2|,
BRD_SER4_RTSCTS,Enable flow control on serial 4. You must have the RTS and CTS pins connected to your radio. The standard DF13 6 pin connector for a 3DR radio does have those pins connected. If this is set to 2 then flow control will be auto-detected by checking for the output buffer filling on startup.,,,0|1|2|,
BRD_SER5_RTSCTS,Enable flow control on serial 5. You must have the RTS and CTS pins connected to your radio. The standard DF13 6 pin connector for a 3DR radio does have those pins connected. If this is set to 2 then flow control will be auto-detected by checking for the output buffer filling on startup.,,,0|1|2|,
BRD_SAFETYENABLE,This controls the default state of the safety switch at startup. When set to 1 the safety switch will start in the safe state (flashing) at boot. When set to zero the safety switch will start in the unsafe state (solid) at startup. Note that if a safety switch is fitted the user can still control the safety state after startup using the switch. The safety state can also be controlled in software using a MAVLink message.,,,0|1|,
BRD_SBUS_OUT,This sets the SBUS output frame rate in Hz,,,0|1|2|3|4|5|6|7|,
BRD_SERIAL_NUM,"User-defined serial number of this vehicle, it can be any arbitrary number you want and has no effect on the autopilot",-32768 32767,,,
BRD_SAFETY_MASK,A bitmask which controls what outputs can move while the safety switch has not been pressed,,,,
BRD_HEAT_TARG,"Board heater target temperature for boards with controllable heating units. DO NOT SET to -1 on the Cube. Set to -1 to disable the heater, please reboot after setting to -1.",-1 80,,,
BRD_TYPE,This allows selection of a PX4 or VRBRAIN board type. If set to zero then the board type is auto-detected (PX4),,,0|1|2|3|4|5|6|13|14|20|21|22|23|24|30|32|33|34|35|36|38|39|100|,
BRD_IO_ENABLE,This allows for the IO co-processor on FMUv1 and FMUv2 to be disabled,,,0|1|,
BRD_SAFETYOPTION,"This controls the activation of the safety button. It allows you to control if the safety button can be used for safety enable and/or disable, and whether the button is only active when disarmed",,,,
BRD_VBUS_MIN,Minimum voltage on the autopilot power rail to allow the aircraft to arm. 0 to disable the check.,4.0 5.5,0.1,,
BRD_VSERVO_MIN,Minimum voltage on the servo rail to allow the aircraft to arm. 0 to disable the check.,3.3 12.0,0.1,,
BRD_SD_SLOWDOWN,This is a scaling factor to slow down microSD operation. It can be used on flight board and microSD card combinations where full speed is not reliable. For normal full speed operation a value of 0 should be used.,0 32,1,,
BRD_PWM_VOLT_SEL,This sets the voltage max for PWM output pulses. 0 for 3.3V and 1 for 5V output.,,,0|1|,
BRD_OPTIONS,Board specific option flags,,,,
BRD_BOOT_DELAY,This adds a delay in milliseconds to boot to ensure peripherals initialise fully,0 10000,,,
BRD_HEAT_P,Board Heater P gain,1 500,1,,
BRD_HEAT_I,Board Heater integrator gain,0 1,0.1,,
BRD_HEAT_IMAX,Board Heater integrator maximum,0 100,1,,
BRD_ALT_CONFIG,Select an alternative hardware configuration. A value of zero selects the default configuration for this board. Other values are board specific. Please see the documentation for your board for details on any alternative configuration values that may be available.,0 10,1,,
BRD_HEAT_LOWMGN,Arming check will fail if temp is lower than this margin below BRD_HEAT_TARG. 0 disables the low temperature check,0 20,,,
BRD_RADIO_TYPE,This enables support for direct attached radio receivers,,,0|1|2|3|,
BRD_RADIO_PROT,Select air protocol,,,0|1|2|,
BRD_RADIO_DEBUG,radio debug level,0 4,,,
BRD_RADIO_DISCRC,disable receive CRC (for debug),,,0|1|,
BRD_RADIO_SIGCH,"Channel to show receive RSSI signal strength, or zero for disabled",0 16,,,
BRD_RADIO_PPSCH,"Channel to show received packet-per-second rate, or zero for disabled",0 16,,,
BRD_RADIO_TELEM,If this is non-zero then telemetry packets will be sent over DSM,,,0|1|,
BRD_RADIO_TXPOW,Set telemetry transmit power. This is the power level (from 1 to 8) for telemetry packets sent from the RX to the TX,1 8,,,
BRD_RADIO_FCCTST,If this is enabled then the radio will continuously transmit as required for FCC testing. The transmit channel is set by the value of the parameter. The radio will not work for RC input while this is enabled,,,0|1|2|3|4|5|6|,
BRD_RADIO_STKMD,"This selects between different stick input modes. The default is mode2, which has throttle on the left stick and pitch on the right stick. You can instead set mode1, which has throttle on the right stick and pitch on the left stick.",,,1|2|,
BRD_RADIO_TESTCH,This sets the radio to a fixed test channel for factory testing. Using a fixed channel avoids the need for binding in factory testing.,,,0|1|2|3|4|5|6|7|8|,
BRD_RADIO_TSIGCH,Channel to show telemetry RSSI value as received by TX,0 16,,,
BRD_RADIO_TPPSCH,"Channel to show telemetry packets-per-second value, as received at TX",0 16,,,
BRD_RADIO_TXMAX,Set transmitter maximum transmit power (from 1 to 8),1 8,,,
BRD_RADIO_BZOFS,Set transmitter buzzer note adjustment (adjust frequency up),0 40,,,
BRD_RADIO_ABTIME,When non-zero this sets the time with no transmitter packets before we start looking for auto-bind packets.,0 120,,,
BRD_RADIO_ABLVL,This sets the minimum RSSI of an auto-bind packet for it to be accepted. This should be set so that auto-bind will only happen at short range to minimise the change of an auto-bind happening accidentially,0 31,,,
BRD_RTC_TYPES,Specifies which sources of UTC time will be accepted,,,,
BRD_RTC_TZ_MIN,Adds offset in +- minutes from UTC to calculate local time,-720 +840,,,
BTN_ENABLE,This enables the button checking module. When this is disabled the parameters for setting button inputs are not visible,,,0|1|,
BTN_PIN1,Digital pin number for first button input. ,,,-1|50|51|52|53|54|55|,
BTN_PIN2,Digital pin number for second button input. ,,,-1|50|51|52|53|54|55|,
BTN_PIN3,Digital pin number for third button input. ,,,-1|50|51|52|53|54|55|,
BTN_PIN4,Digital pin number for fourth button input. ,,,-1|50|51|52|53|54|55|,
BTN_REPORT_SEND,The duration in seconds that a BUTTON_CHANGE report is repeatedly sent to the GCS regarding a button changing state. Note that the BUTTON_CHANGE message is MAVLink2 only.,0 3600,,,
BTN_OPTIONS1,"Options for Pin 1. PWM input detects PWM above or below 1800/1200us instead of logic level. If PWM is not detected or is less than 800us or above 2200us the button will interpreted as low. Invert changes HIGH state to be logic low voltage on pin, or below 1200us, if PWM input.",,,,
BTN_OPTIONS2,"Options for Pin 2. PWM input detects PWM above or below 1800/1200us instead of logic level. If PWM is not detected or is less than 800us or above 2200us the button will interpreted as low. Invert changes HIGH state to be logic low voltage on pin, or below 1200us, if PWM input.",,,,
BTN_OPTIONS3,"Options for Pin 3. PWM input detects PWM above or below 1800/1200us instead of logic level. If PWM is not detected or is less than 800us or above 2200us the button will interpreted as low. Invert changes HIGH state to be logic low voltage on pin, or below 1200us, if PWM input.",,,,
BTN_OPTIONS4,"Options for Pin 4. PWM input detects PWM above or below 1800/1200us instead of logic level. If PWM is not detected or is less than 800us or above 2200us the button will interpreted as low. Invert changes HIGH state to be logic low voltage on pin, or below 1200us, if PWM input.",,,,
BTN_FUNC1,Auxiliary RC Options function executed on pin change,,,0|4|5|7|9|11|16|19|24|27|28|30|31|34|35|36|40|41|42|46|50|51|52|53|54|55|56|57|58|59|62|63|65|66|67|74|78|79|80|81|90|94|97|100|101|102|105|106|153|155|156|201|202|207|208|211|300|301|302|303|304|305|306|307|,
BTN_FUNC2,Auxiliary RC Options function executed on pin change,,,0|4|5|7|9|11|16|19|24|27|28|30|31|34|35|36|40|41|42|46|50|51|52|53|54|55|56|57|58|59|62|63|65|66|67|74|78|79|80|81|90|94|97|100|101|102|105|106|153|155|156|201|202|207|208|211|300|301|302|303|304|305|306|307|,
BTN_FUNC3,Auxiliary RC Options function executed on pin change,,,0|4|5|7|9|11|16|19|24|27|28|30|31|34|35|36|40|41|42|46|50|51|52|53|54|55|56|57|58|59|62|63|65|66|67|74|78|79|80|81|90|94|97|100|101|102|105|106|153|155|156|201|202|207|208|211|300|301|302|303|304|305|306|307|,
BTN_FUNC4,Auxiliary RC Options function executed on pin change,,,0|4|5|7|9|11|16|19|24|27|28|30|31|34|35|36|40|41|42|46|50|51|52|53|54|55|56|57|58|59|62|63|65|66|67|74|78|79|80|81|90|94|97|100|101|102|105|106|153|155|156|201|202|207|208|211|300|301|302|303|304|305|306|307|,
CAM_TRIGG_TYPE,how to trigger the camera to take a picture,,,0|1|2|,
CAM_DURATION,"How long the shutter will be held open in 10ths of a second (i.e. enter 10 for 1second, 50 for 5seconds)",0 50,,,
CAM_SERVO_ON,PWM value in microseconds to move servo to when shutter is activated,1000 2000,,,
CAM_SERVO_OFF,PWM value in microseconds to move servo to when shutter is deactivated,1000 2000,,,
CAM_TRIGG_DIST,"Distance in meters between camera triggers. If this value is non-zero then the camera will trigger whenever the position changes by this number of meters regardless of what mode the APM is in. Note that this parameter can also be set in an auto mission using the DO_SET_CAM_TRIGG_DIST command, allowing you to enable/disable the triggering of the camera during the flight.",0 1000,,,
CAM_RELAY_ON,This sets whether the relay goes high or low when it triggers. Note that you should also set RELAY_DEFAULT appropriately for your camera,,,0|1|,
CAM_MIN_INTERVAL,Postpone shooting if previous picture was taken less than preset time(ms) ago.,0 10000,,,
CAM_MAX_ROLL,"Postpone shooting if roll is greater than limit. (0=Disable, will shoot regardless of roll).",0 180,,,
CAM_FEEDBACK_PIN,"pin number to use for save accurate camera feedback messages. If set to -1 then don't use a pin flag for this, otherwise this is a pin number which if held high after a picture trigger order, will save camera messages when camera really takes a picture. A universal camera hot shoe is needed. The pin should be held high for at least 2 milliseconds for reliable trigger detection. See also the CAM_FEEDBACK_POL option.",,,-1|50|51|52|53|54|55|,
CAM_FEEDBACK_POL,Polarity for feedback pin. If this is 1 then the feedback pin should go high on trigger. If set to 0 then it should go low,,,0|1|,
CAM_AUTO_ONLY,"When enabled, trigging by distance is done in AUTO mode only.",,,0|1|,
CAM_TYPE,"Set the camera type that is being used, certain cameras have custom functions that need further configuration, this enables that.",,,0|1|,
CAM_RC_TYPE,RunCam deviee type used to determine OSD menu structure and shutter options.,,,0|1|2|3|4|,
CAM_RC_FEATURES,"The available features of the attached RunCam device. If 0 then the RunCam device will be queried for the features it supports, otherwise this setting is used.",,,,
CAM_RC_BT_DELAY,Time it takes for the RunCam to become fully ready in ms. If this is too short then commands can get out of sync.,,,,
CAM_RC_BTN_DELAY,Time it takes for the a RunCam button press to be actived in ms. If this is too short then commands can get out of sync.,,,,
CAM_RC_MDE_DELAY,Time it takes for the a RunCam mode button press to be actived in ms. If a mode change first requires a video recording change then double this value is used. If this is too short then commands can get out of sync.,,,,
CAM_RC_CONTROL,Specifies the allowed actions required to enter the OSD menu,,,,
CAN_LOGLEVEL,Loglevel for recording initialisation and debug information from CAN Interface,0 4,,0|1|2|3|4|,
CAN_D1_PROTOCOL,Enabling this option starts selected protocol that will use this virtual driver,,,0|1|3|4|5|6|7|8|10|11|,
CAN_D1_KDE_NPOLE,Sets the number of motor poles to calculate the correct RPM value,,,,
CAN_D1_PC_ESC_BM,Bitmask defining which ESC (motor) channels are to be transmitted over Piccolo CAN,,,,
CAN_D1_PC_ESC_RT,Output rate of ESC command messages,1 500,,,
CAN_D1_PC_SRV_BM,Bitmask defining which servo channels are to be transmitted over Piccolo CAN,,,,
CAN_D1_PC_SRV_RT,Output rate of servo command messages,1 500,,,
CAN_D1_TST_ID,"Selects the Index of Test that needs to be run recursively, this value gets reset to 0 at boot.",0 4,,0|1|2|3|4|5|6|7|,
CAN_D1_TST_LPR8,Selects the Looprate of Test methods,,,,
CAN_D1_UC_NODE,UAVCAN node should be set implicitly,1 250,,,
CAN_D1_UC_SRV_BM,Bitmask with one set for channel to be transmitted as a servo command over UAVCAN,,,,
CAN_D1_UC_ESC_BM,Bitmask with one set for channel to be transmitted as a ESC command over UAVCAN,,,,
CAN_D1_UC_SRV_RT,Maximum transmit rate for servo outputs,1 200,,,
CAN_D1_UC_OPTION,Option flags,,,,
CAN_D1_UC_NTF_RT,Maximum transmit rate for Notify State Message,1 200,,,
CAN_D2_PROTOCOL,Enabling this option starts selected protocol that will use this virtual driver,,,0|1|3|4|5|6|7|8|10|11|,
CAN_D2_KDE_NPOLE,Sets the number of motor poles to calculate the correct RPM value,,,,
CAN_D2_PC_ESC_BM,Bitmask defining which ESC (motor) channels are to be transmitted over Piccolo CAN,,,,
CAN_D2_PC_ESC_RT,Output rate of ESC command messages,1 500,,,
CAN_D2_PC_SRV_BM,Bitmask defining which servo channels are to be transmitted over Piccolo CAN,,,,
CAN_D2_PC_SRV_RT,Output rate of servo command messages,1 500,,,
CAN_D2_TST_ID,"Selects the Index of Test that needs to be run recursively, this value gets reset to 0 at boot.",0 4,,0|1|2|3|4|5|6|7|,
CAN_D2_TST_LPR8,Selects the Looprate of Test methods,,,,
CAN_D2_UC_NODE,UAVCAN node should be set implicitly,1 250,,,
CAN_D2_UC_SRV_BM,Bitmask with one set for channel to be transmitted as a servo command over UAVCAN,,,,
CAN_D2_UC_ESC_BM,Bitmask with one set for channel to be transmitted as a ESC command over UAVCAN,,,,
CAN_D2_UC_SRV_RT,Maximum transmit rate for servo outputs,1 200,,,
CAN_D2_UC_OPTION,Option flags,,,,
CAN_D2_UC_NTF_RT,Maximum transmit rate for Notify State Message,1 200,,,
CAN_D3_PROTOCOL,Enabling this option starts selected protocol that will use this virtual driver,,,0|1|3|4|5|6|7|8|10|11|,
CAN_D3_KDE_NPOLE,Sets the number of motor poles to calculate the correct RPM value,,,,
CAN_D3_PC_ESC_BM,Bitmask defining which ESC (motor) channels are to be transmitted over Piccolo CAN,,,,
CAN_D3_PC_ESC_RT,Output rate of ESC command messages,1 500,,,
CAN_D3_PC_SRV_BM,Bitmask defining which servo channels are to be transmitted over Piccolo CAN,,,,
CAN_D3_PC_SRV_RT,Output rate of servo command messages,1 500,,,
CAN_D3_TST_ID,"Selects the Index of Test that needs to be run recursively, this value gets reset to 0 at boot.",0 4,,0|1|2|3|4|5|6|7|,
CAN_D3_TST_LPR8,Selects the Looprate of Test methods,,,,
CAN_D3_UC_NODE,UAVCAN node should be set implicitly,1 250,,,
CAN_D3_UC_SRV_BM,Bitmask with one set for channel to be transmitted as a servo command over UAVCAN,,,,
CAN_D3_UC_ESC_BM,Bitmask with one set for channel to be transmitted as a ESC command over UAVCAN,,,,
CAN_D3_UC_SRV_RT,Maximum transmit rate for servo outputs,1 200,,,
CAN_D3_UC_OPTION,Option flags,,,,
CAN_D3_UC_NTF_RT,Maximum transmit rate for Notify State Message,1 200,,,
CAN_P1_DRIVER,Enabling this option enables use of CAN buses.,,,0|1|2|3|,
CAN_P1_BITRATE,Bit rate can be set up to from 10000 to 1000000,10000 1000000,,,
CAN_P1_FDBITRATE,Bit rate can be set up to from 1000000 to 8000000,,,1|2|4|5|8|,
CAN_P2_DRIVER,Enabling this option enables use of CAN buses.,,,0|1|2|3|,
CAN_P2_BITRATE,Bit rate can be set up to from 10000 to 1000000,10000 1000000,,,
CAN_P2_FDBITRATE,Bit rate can be set up to from 1000000 to 8000000,,,1|2|4|5|8|,
CAN_P3_DRIVER,Enabling this option enables use of CAN buses.,,,0|1|2|3|,
CAN_P3_BITRATE,Bit rate can be set up to from 10000 to 1000000,10000 1000000,,,
CAN_P3_FDBITRATE,Bit rate can be set up to from 1000000 to 8000000,,,1|2|4|5|8|,
CAN_SLCAN_CPORT,"CAN Interface ID to be routed to SLCAN, 0 means no routing",,,0|1|2|,
CAN_SLCAN_SERNUM,"Serial Port ID to be used for temporary SLCAN iface, -1 means no temporary serial. This parameter is automatically reset on reboot or on timeout. See CAN_SLCAN_TIMOUT for timeout details",,,-1|0|1|2|3|4|5|6|,
CAN_SLCAN_TIMOUT,Duration of inactivity after which SLCAN is switched back to original driver in seconds.,0 127,,,
CAN_SLCAN_SDELAY,Duration after which slcan starts after setting SERNUM in seconds.,0 127,,,
COMPASS_OFS_X,Offset to be added to the compass x-axis values to compensate for metal in the frame,-400 400,1,,
COMPASS_OFS_Y,Offset to be added to the compass y-axis values to compensate for metal in the frame,-400 400,1,,
COMPASS_OFS_Z,Offset to be added to the compass z-axis values to compensate for metal in the frame,-400 400,1,,
COMPASS_DEC,An angle to compensate between the true north and magnetic north,-3.142 3.142,0.01,,
COMPASS_LEARN,Enable or disable the automatic learning of compass offsets. You can enable learning either using a compass-only method that is suitable only for fixed wing aircraft or using the offsets learnt by the active EKF state estimator. If this option is enabled then the learnt offsets are saved when you disarm the vehicle. If InFlight learning is enabled then the compass with automatically start learning once a flight starts (must be armed). While InFlight learning is running you cannot use position control modes.,,,0|1|2|3|,
COMPASS_USE,Enable or disable the use of the compass (instead of the GPS) for determining heading,,,0|1|,
COMPASS_AUTODEC,Enable or disable the automatic calculation of the declination based on gps location,,,0|1|,
COMPASS_MOTCT,"Set motor interference compensation type to disabled, throttle or current.  Do not change manually.",,,0|1|2|,
COMPASS_MOT_X,Multiplied by the current throttle and added to the compass's x-axis values to compensate for motor interference (Offset per Amp or at Full Throttle),-1000 1000,1,,
COMPASS_MOT_Y,Multiplied by the current throttle and added to the compass's y-axis values to compensate for motor interference (Offset per Amp or at Full Throttle),-1000 1000,1,,
COMPASS_MOT_Z,Multiplied by the current throttle and added to the compass's z-axis values to compensate for motor interference (Offset per Amp or at Full Throttle),-1000 1000,1,,
COMPASS_ORIENT,"The orientation of the first external compass relative to the vehicle frame. This value will be ignored unless this compass is set as an external compass. When set correctly in the northern hemisphere, pointing the nose and right side down should increase the MagX and MagY values respectively. Rolling the vehicle upside down should decrease the MagZ value. For southern hemisphere, switch increase and decrease. NOTE: For internal compasses, AHRS_ORIENT is used. The label for each option is specified in the order of rotations for that orientation.",,,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|42|43|100|101|102|,
