Name,Description,Range,Default
FW_ACRO_X_MAX,This is the rate the controller is trying to achieve if the user applies full roll stick input in acro mode.,45 720,90
FW_ACRO_Y_MAX,This is the body y rate the controller is trying to achieve if the user applies full pitch stick input in acro mode.,45 720,90
FW_ACRO_Z_MAX,This is the body z rate the controller is trying to achieve if the user applies full yaw stick input in acro mode.,10 180,45
FW_ARSP_MODE,For small wings or VTOL without airspeed sensor this parameter can be used to enable flying without an airspeed reading,,0
FW_ARSP_SCALE_EN,This enables a logic that automatically adjusts the output of the rate controller to take into account the real torque produced by an aerodynamic control surface given the current deviation from the trim airspeed (FW_AIRSPD_TRIM). Enable when using aerodynamic control surfaces (e.g.: plane) Disable when using rotor wings (e.g.: autogyro),,1
FW_BAT_SCALE_EN,"This compensates for voltage drop of the battery over time by attempting to normalize performance across the operating range of the battery. The fixed wing should constantly behave as if it was fully charged with reduced max thrust at lower battery percentages. i.e. if cruise speed is at 0.5 throttle at 100% battery, it will still be 0.5 at 60% battery.",,0
FW_DTRIM_P_FLPS,This increment is added to the pitch trim whenever flaps are fully deployed.,-0.25 0.25,0.0
FW_DTRIM_P_VMAX,This increment is added to TRIM_PITCH when airspeed is FW_AIRSPD_MAX.,-0.25 0.25,0.0
FW_DTRIM_P_VMIN,This increment is added to TRIM_PITCH when airspeed is FW_AIRSPD_MIN.,-0.25 0.25,0.0
FW_DTRIM_R_FLPS,This increment is added to TRIM_ROLL whenever flaps are fully deployed.,-0.25 0.25,0.0
FW_DTRIM_R_VMAX,This increment is added to TRIM_ROLL when airspeed is FW_AIRSPD_MAX.,-0.25 0.25,0.0
FW_DTRIM_R_VMIN,This increment is added to TRIM_ROLL when airspeed is FW_AIRSPD_MIN.,-0.25 0.25,0.0
FW_DTRIM_Y_VMAX,This increment is added to TRIM_YAW when airspeed is FW_AIRSPD_MAX.,-0.25 0.25,0.0
FW_DTRIM_Y_VMIN,This increment is added to TRIM_YAW when airspeed is FW_AIRSPD_MIN.,-0.25 0.25,0.0
FW_FLAPERON_SCL,Scale factor for flaperons,0.0 1.0,0.0
FW_FLAPS_LND_SCL,Sets a fraction of full flaps (FW_FLAPS_SCL) during landing,0.0 1.0,1.0
FW_FLAPS_SCL,Scale factor for flaps,0.0 1.0,1.0
FW_FLAPS_TO_SCL,Sets a fraction of full flaps (FW_FLAPS_SCL) during take-off,0.0 1.0,0.0
FW_MAN_P_MAX,Maximum manual pitch angle setpoint (positive & negative) in manual attitude-only stabilized mode,0.0 90.0,45.0
FW_MAN_P_SC,Scale factor applied to the desired pitch actuator command in full manual mode. This parameter allows to adjust the throws of the control surfaces.,min:0.0,1.0
FW_MAN_R_MAX,Maximum manual roll angle setpoint (positive & negative) in manual attitude-only stabilized mode,0.0 90.0,45.0
FW_MAN_R_SC,Scale factor applied to the desired roll actuator command in full manual mode. This parameter allows to adjust the throws of the control surfaces.,0.0 1.0,1.0
FW_MAN_Y_SC,Scale factor applied to the desired yaw actuator command in full manual mode. This parameter allows to adjust the throws of the control surfaces.,min:0.0,1.0
FW_PR_FF,Direct feed forward from rate setpoint to control surface output,0.0 10.0,0.5
FW_PR_I,This gain defines how much control response will result out of a steady state error. It trims any constant error.,0.005 0.5,0.1
FW_PR_IMAX,The portion of the integrator part in the control surface deflection is limited to this value,0.0 1.0,0.4
FW_PR_P,This defines how much the elevator input will be commanded depending on the current body angular rate error.,0.005 1.0,0.08
FW_PSP_OFF,"An airframe specific offset of the pitch setpoint in degrees, the value is added to the pitch setpoint and should correspond to the pitch at typical cruise speed of the airframe.",-90.0 90.0,0.0
FW_P_RMAX_NEG,This limits the maximum pitch down up angular rate the controller will output (in degrees per second).,0.0 90.0,60.0
FW_P_RMAX_POS,This limits the maximum pitch up angular rate the controller will output (in degrees per second).,0.0 90.0,60.0
FW_P_TC,"This defines the latency between a pitch step input and the achieved setpoint (inverse to a P gain). Half a second is a good start value and fits for most average systems. Smaller systems may require smaller values, but as this will wear out servos faster, the value should only be decreased as needed.",0.2 1.0,0.4
FW_RLL_TO_YAW_FF,"This gain can be used to counteract the ""adverse yaw"" effect for fixed wings. When the plane enters a roll it will tend to yaw the nose out of the turn. This gain enables the use of a yaw actuator (rudder, airbrakes, ...) to counteract this effect.",min:0.0,0.0
FW_RR_FF,Direct feed forward from rate setpoint to control surface output. Use this to obtain a tigher response of the controller without introducing noise amplification.,0.0 10.0,0.5
FW_RR_I,This gain defines how much control response will result out of a steady state error. It trims any constant error.,0.005 0.2,0.1
FW_RR_IMAX,The portion of the integrator part in the control surface deflection is limited to this value.,0.0 1.0,0.2
FW_RR_P,This defines how much the aileron input will be commanded depending on the current body angular rate error.,0.005 1.0,0.05
FW_R_RMAX,This limits the maximum roll rate the controller will output (in degrees per second).,0.0 90.0,70.0
FW_R_TC,"This defines the latency between a roll step input and the achieved setpoint (inverse to a P gain). Half a second is a good start value and fits for most average systems. Smaller systems may require smaller values, but as this will wear out servos faster, the value should only be decreased as needed.",0.4 1.0,0.4
FW_WR_FF,Direct feed forward from rate setpoint to control surface output,0.0 10.0,0.2
FW_WR_I,This gain defines how much control response will result out of a steady state error. It trims any constant error.,0.005 0.5,0.1
FW_WR_IMAX,The portion of the integrator part in the control surface deflection is limited to this value,0.0 1.0,1.0
FW_WR_P,This defines how much the wheel steering input will be commanded depending on the current body angular rate error.,0.005 1.0,0.5
FW_W_EN,Enable wheel steering controller,,0
FW_W_RMAX,This limits the maximum wheel steering rate the controller will output (in degrees per second).,0.0 90.0,30.0
FW_YR_FF,Direct feed forward from rate setpoint to control surface output,0.0 10.0,0.3
FW_YR_I,This gain defines how much control response will result out of a steady state error. It trims any constant error.,0.0 50.0,0.1
FW_YR_IMAX,The portion of the integrator part in the control surface deflection is limited to this value,0.0 1.0,0.2
FW_YR_P,This defines how much the rudder input will be commanded depending on the current body angular rate error.,0.005 1.0,0.05
FW_Y_RMAX,This limits the maximum yaw rate the controller will output (in degrees per second).,0.0 90.0,50.0
FW_CLMBOUT_DIFF,"If the altitude error exceeds this parameter, the system will climb out with maximum throttle and minimum airspeed until it is closer than this distance to the desired altitude. Mostly used for takeoff waypoints / modes. Set to 0 to disable climbout mode (not recommended).",0.0 150.0,10.0
FW_L1_DAMPING,Damping factor for L1 control.,0.6 0.9,0.75
FW_L1_PERIOD,Used to determine the L1 gain and controller time constant. This parameter is proportional to the L1 distance (which points ahead of the aircraft on the path it is following). A value of 18-25 seconds works for most aircraft. Shorten slowly during tuning until response is sharp without oscillation.,7.0 50.0,20.0
FW_L1_R_SLEW_MAX,The maxium change in roll angle setpoint per second.,min:0,90.0
FW_LND_AIRSPD_SC,Multiplying this factor with the minimum airspeed of the plane gives the target airspeed the landing approach. FW_AIRSPD_MIN * FW_LND_AIRSPD_SC,1.0 1.5,1.3
FW_LND_ANG,Landing slope angle,1.0 15.0,5.0
FW_LND_EARLYCFG,"When disabled, the landing configuration (flaps, landing airspeed, etc.) is only activated on the final approach to landing. When enabled, it is already activated when entering the final loiter-down (loiter-to-alt) waypoint before the landing approach. This shifts the (often large) altitude and airspeed errors caused by the configuration change away from the ground such that these are not so critical. It also gives the controller enough time to adapt to the new configuration such that the landing approach starts with a cleaner initial state.",,0
FW_LND_FLALT,Landing flare altitude (relative to landing altitude),0.0 25.0,3.0
FW_LND_FL_PMAX,"Maximum pitch during flare, a positive sign means nose up Applied once FW_LND_FLALT is reached",0 45.0,15.0
FW_LND_FL_PMIN,"Minimum pitch during flare, a positive sign means nose up Applied once FW_LND_FLALT is reached",0 15.0,2.5
FW_LND_HHDIST,Set to 0 to disable heading hold.,0 30.0,15.0
FW_LND_HVIRT,FW_LND_HVIRT,1.0 15.0,10.0
FW_LND_THRTC_SC,"Set this parameter to less than 1.0 to make TECS react faster to altitude errors during landing than during normal flight (i.e. giving efficiency and low motor wear at high altitudes but control accuracy during landing). During landing, the TECS altitude time constant (FW_T_ALT_TC) is multiplied by this value.",0.2 1.0,1.0
FW_LND_TLALT,Default of -1.0 lets the system default to applying throttle limiting at 2/3 of the flare altitude.,-1.0 30.0,-1.0
FW_LND_USETER,This is turned off by default and a waypoint or return altitude is normally used (or sea level for an arbitrary land position).,,0
FW_POS_STK_CONF,Set RC/joystick configuration for fixed-wing manual position and altitude controlled flight.,0 3,2
FW_P_LIM_MAX,The maximum pitch angle setpoint for autonomous modes including altitude and position control.,0.0 60.0,45.0
FW_P_LIM_MIN,The minimum pitch angle setpoint for autonomous modes including altitude and position control.,-60.0 0.0,-45.0
FW_R_LIM,The maximum roll angle setpoint for autonomous modes including altitude and position control.,35.0 65.0,50.0
FW_THR_ALT_SCL,Automatically adjust throttle to account for decreased air density at higher altitudes. Start with a scale factor of 1.0 and adjust for different propulsion systems. When flying without airspeed sensor this will help to keep a constant performance over large altitude ranges. The default value of 0 will disable scaling.,0.0 10.0,0.0
FW_THR_CRUISE,This is the throttle setting required to achieve the desired cruise speed. Most airframes have a value of 0.5-0.7.,0.0 1.0,0.6
FW_THR_IDLE,This is the minimum throttle while on the ground For aircraft with internal combustion engine this parameter should be set above desired idle rpm.,0.0 0.4,0.15
FW_THR_LND_MAX,"During the flare of the autonomous landing process, this value will be set as throttle limit when the aircraft altitude is below FW_LND_TLALT.",0.0 1.0,1.0
FW_THR_MAX,"This is the maximum throttle % that can be used by the controller. For overpowered aircraft, this should be reduced to a value that provides sufficient thrust to climb at the maximum pitch angle PTCH_MAX.",0.0 1.0,1.0
FW_THR_MIN,"This is the minimum throttle % that can be used by the controller. For electric aircraft this will normally be set to zero, but can be set to a small non-zero value if a folding prop is fitted to prevent the prop from folding and unfolding repeatedly in-flight or to provide some aerodynamic drag from a turning prop to improve the descent rate. For aircraft with internal combustion engine this parameter should be set for desired idle rpm.",0.0 1.0,0.0
FW_THR_SLEW_MAX,Maximum slew rate for the commanded throttle,0.0 1.0,0.0
FW_TKO_PITCH_MIN,Minimum pitch during takeoff,-5.0 30.0,10.0
LAUN_ALL_ON,Launch detection,,0
LAUN_CAT_A,LAUN_CAT_A for LAUN_CAT_T serves as threshold to trigger launch detection.,min:0,30.0
LAUN_CAT_MDEL,"Delay between starting attitude control and powering up the throttle (giving throttle control to the controller) Before this timespan is up the throttle will be set to FW_THR_IDLE, set to 0 to deactivate",0.0 10.0,0.0
LAUN_CAT_PMAX,This is an extra limit for the maximum pitch which is imposed in the phase before the throttle turns on. This allows to limit the maximum pitch angle during a bungee launch (make the launch less steep).,0.0 45.0,30.0
LAUN_CAT_T,LAUN_CAT_A for LAUN_CAT_T serves as threshold to trigger launch detection.,0.0 5.0,0.05
FW_USE_NPFG,Replaces L1.,,0
NPFG_DAMPING,Damping ratio of the NPFG control law.,0.10 1.00,0.7
NPFG_EN_MIN_GSP,Enable minimum forward ground speed maintaining excess wind handling logic,,1
NPFG_GSP_MAX_TK,The maximum value of the minimum forward ground speed that may be commanded by the track keeping excess wind handling logic. Commanded in full at the normalized track error fraction of the track error boundary and reduced to zero on track.,0.0 10.0,5.0
NPFG_LB_PERIOD,"Avoids limit cycling from a too aggressively tuned period/damping combination. If set to false, also disables the upper bound NPFG_PERIOD_UB.",,1
NPFG_PERIOD,Period of the NPFG control law.,1.0 100.0,10.0
NPFG_PERIOD_SF,Multiplied by period for conservative minimum period bounding (when period lower bounding is enabled). 1.0 bounds at marginal stability.,1.0 10.0,1.5
NPFG_ROLL_TC,"Time constant of roll controller command / response, modeled as first order delay. Used to determine lower period bound. Setting zero disables automatic period bounding.",0.00 2.00,0.5
NPFG_SW_DST_MLT,Multiplied by the track error boundary to determine when the aircraft switches to the next waypoint and/or path segment. Should be less than 1. 1/pi (0.32) sets the switch distance equivalent to that of the L1 controller.,0.1 1.0,0.32
NPFG_TRACK_KEEP,Enable track keeping excess wind handling logic,,1
NPFG_UB_PERIOD,Adapts period to maintain track keeping in variable winds and path curvature.,,1
NPFG_WIND_REG,Disabling this parameter further disables all other airspeed incrementation options.,,1
FW_AIRSPD_MAX,"If the CAS (calibrated airspeed) is above this value, the TECS controller will try to decrease airspeed more aggressively.",0.5 40,20.0
FW_AIRSPD_MIN,"The minimal airspeed (calibrated airspeed) the user is able to command. Further, if the airspeed falls below this value, the TECS controller will try to increase airspeed more aggressively.",0.5 40,10.0
FW_AIRSPD_STALL,The stall airspeed (calibrated airspeed) of the vehicle. It is used for airspeed sensor failure detection and for the control surface scaling airspeed limits.,0.5 40,7.0
FW_AIRSPD_TRIM,"The trim CAS (calibrated airspeed) of the vehicle. If an airspeed controller is active, this is the default airspeed setpoint that the controller will try to achieve if no other airspeed setpoint sources are present (e.g. through non-centered RC sticks).",0.5 40,15.0
FW_GND_SPD_MIN,The controller will increase the commanded airspeed to maintain this minimum groundspeed to the next waypoint.,0.0 40,5.0
FW_T_ALT_TC,Altitude error time constant,min:2.0,5.0
FW_T_CLMB_MAX,"This is the best climb rate that the aircraft can achieve with the throttle set to THR_MAX and the airspeed set to the default value. For electric aircraft make sure this number can be achieved towards the end of flight when the battery voltage has reduced. The setting of this parameter can be checked by commanding a positive altitude change of 100m in loiter, RTL or guided mode. If the throttle required to climb is close to THR_MAX and the aircraft is maintaining airspeed, then this parameter is set correctly. If the airspeed starts to reduce, then the parameter is set to high, and if the throttle demand required to climb and maintain speed is noticeably less than FW_THR_MAX, then either FW_T_CLMB_MAX should be increased or FW_THR_MAX reduced.",1.0 15.0,5.0
FW_T_CLMB_R_SP,The default rate at which the vehicle will climb in autonomous modes to achieve altitude setpoints. In manual modes this defines the maximum rate at which the altitude setpoint can be increased.,0.5 15,3.0
FW_T_HRATE_FF,Height rate feed forward,0.0 1.0,0.3
FW_T_I_GAIN_PIT,"This is the integrator gain on the pitch part of the control loop. Increasing this gain increases the speed at which speed and height offsets are trimmed out, but reduces damping and increases overshoot. Set this value to zero to completely disable all integrator action.",0.0 2.0,0.1
FW_T_I_GAIN_THR,"This is the integrator gain on the throttle part of the control loop. Increasing this gain increases the speed at which speed and height offsets are trimmed out, but reduces damping and increases overshoot. Set this value to zero to completely disable all integrator action.",0.0 2.0,0.3
FW_T_PTCH_DAMP,This is the damping gain for the pitch demand loop. Increase to add damping to correct for oscillations in height. The default value of 0.0 will work well provided the pitch to servo controller has been tuned properly.,0.0 2.0,0.1
FW_T_RLL2THR,"Increasing this gain turn increases the amount of throttle that will be used to compensate for the additional drag created by turning. Ideally this should be set to  approximately 10 x the extra sink rate in m/s created by a 45 degree bank turn. Increase this gain if the aircraft initially loses energy in turns and reduce if the aircraft initially gains energy in turns. Efficient high aspect-ratio aircraft (eg powered sailplanes) can use a lower value, whereas inefficient low aspect-ratio models (eg delta wings) can use a higher value.",0.0 20.0,15.0
FW_T_SEB_R_FF,Specific total energy balance rate feedforward gain,0.5 3,1.0
FW_T_SINK_MAX,"This sets the maximum descent rate that the controller will use. If this value is too large, the aircraft can over-speed on descent. This should be set to a value that can be achieved without exceeding the lower pitch angle limit and without over-speeding the aircraft.",1.0 15.0,5.0
FW_T_SINK_MIN,This is the sink rate of the aircraft with the throttle set to THR_MIN and flown at the same airspeed as used to measure FW_T_CLMB_MAX.,1.0 5.0,2.0
FW_T_SINK_R_SP,The default rate at which the vehicle will sink in autonomous modes to achieve altitude setpoints. In manual modes this defines the maximum rate at which the altitude setpoint can be decreased.,0.5 15,2.0
FW_T_SPDWEIGHT,"This parameter adjusts the amount of weighting that the pitch control applies to speed vs height errors. Setting it to 0.0 will cause the pitch control to control height and ignore speed errors. This will normally improve height accuracy but give larger airspeed errors. Setting it to 2.0 will cause the pitch control loop to control speed and ignore height errors. This will normally reduce airspeed errors, but give larger height errors. The default value of 1.0 allows the pitch control to simultaneously control height and speed. Note to Glider Pilots - set this parameter to 2.0 (The glider will adjust its pitch angle to maintain airspeed, ignoring changes in height).",0.0 2.0,1.0
FW_T_SPD_OMEGA,"This is the cross-over frequency (in radians/second) of the complementary filter used to fuse longitudinal acceleration and airspeed to obtain an improved airspeed estimate. Increasing this frequency weights the solution more towards use of the airspeed sensor, whilst reducing it weights the solution more towards use of the accelerometer data.",1.0 10.0,2.0
FW_T_STE_R_TC,This filter is applied to the specific total energy rate used for throttle damping.,0.0 2,0.4
FW_T_TAS_R_TC,This filter is applied to the true airspeed rate.,0.0 2,0.2
FW_T_TAS_TC,True airspeed error time constant,min:2.0,5.0
FW_T_THR_DAMP,This is the damping gain for the throttle demand loop. Increase to add damping to correct for oscillations in speed and height.,0.0 2.0,0.1
FW_T_VERT_ACC,This is the maximum vertical acceleration (in m/s/s) either up or down that the controller will use to correct speed or height errors. The default value of 7 m/s/s (equivalent to +- 0.7 g) allows for reasonably aggressive pitch changes if required to recover from under-speed conditions.,1.0 10.0,7.0
FD_ESCS_EN,"If enabled, failure detector will verify that all the ESCs have successfully armed when the vehicle has transitioned to the armed state. Timeout for receiving an acknowledgement from the ESCs is 0.3s, if no feedback is received the failure detector will auto disarm the vehicle.",,1
FD_EXT_ATS_EN,Enabled on either AUX5 or MAIN5 depending on board. External ATS is required by ASTM F3322-18.,,0
FD_EXT_ATS_TRIG,External ATS is required by ASTM F3322-18.,,1900
FD_FAIL_P,"Maximum pitch angle before FailureDetector triggers the attitude_failure flag. The flag triggers flight termination (if @CBRK_FLIGHTTERM = 0), which sets outputs to their failsafe values. On takeoff the flag triggers lockdown (irrespective of @CBRK_FLIGHTTERM), which disarms motors but does not set outputs to failsafe values. Setting this parameter to 0 disables the check",60 180,60
FD_FAIL_P_TTRI,Seconds (decimal) that pitch has to exceed FD_FAIL_P before being considered as a failure.,0.02 5,0.3
FD_FAIL_R,"Maximum roll angle before FailureDetector triggers the attitude_failure flag. The flag triggers flight termination (if @CBRK_FLIGHTTERM = 0), which sets outputs to their failsafe values. On takeoff the flag triggers lockdown (irrespective of @CBRK_FLIGHTTERM), which disarms motors but does not set outputs to failsafe values. Setting this parameter to 0 disables the check",60 180,60
FD_FAIL_R_TTRI,Seconds (decimal) that roll has to exceed FD_FAIL_R before being considered as a failure.,0.02 5,0.3
FD_IMB_PROP_THR,Value at which the imbalanced propeller metric (based on horizontal and vertical acceleration variance) triggers a failure Setting this value to 0 disables the feature.,0 1000,30
NAV_FT_DST,The distance in meters to follow the target at,min:1.0,8.0
NAV_FT_FS,"The side to follow the target from (front right = 0, behind = 1, front = 2, front left = 3)",0 3,1
NAV_FT_RS,lower numbers increase the responsiveness to changing long lat but also ignore less noise,0.0 1.0,0.5
NAV_MIN_FT_HT,The minimum height in meters relative to home for following a target,min:8.0,8.0
GPS_1_GNSS,"This integer bitmask controls the set of GNSS systems used by the receiver. Check your receiver's documentation on how many systems are supported to be used in parallel. Currently this functionality is just implemented for u-blox receivers. When no bits are set, the receiver's default configuration should be used. Set bits true to enable: 0 : Use GPS (with QZSS) 1 : Use SBAS (multiple GPS augmentation systems) 2 : Use Galileo 3 : Use BeiDou 4 : Use GLONASS",0 31,0
GPS_1_PROTOCOL,"Select the GPS protocol over serial. Auto-detection will probe all protocols, and thus is a bit slower.",0 5,1
GPS_2_GNSS,"This integer bitmask controls the set of GNSS systems used by the receiver. Check your receiver's documentation on how many systems are supported to be used in parallel. Currently this functionality is just implemented for u-blox receivers. When no bits are set, the receiver's default configuration should be used. Set bits true to enable: 0 : Use GPS (with QZSS) 1 : Use SBAS (multiple GPS augmentation systems) 2 : Use Galileo 3 : Use BeiDou 4 : Use GLONASS",0 31,0
GPS_2_PROTOCOL,"Select the GPS protocol over serial. Auto-detection will probe all protocols, and thus is a bit slower.",0 5,1
GPS_DUMP_COMM,"If this is set to 1, all GPS communication data will be published via uORB, and written to the log file as gps_dump message. If this is set to 2, the main GPS is configured to output RTCM data, which is then logged as gps_dump and can be used for PPK.",0 2,0
GPS_SAT_INFO,Enable publication of satellite info (ORB_ID(satellite_info)) if possible. Not available on MTK.,,0
GPS_UBX_DYNMODEL,u-blox receivers support different dynamic platform models to adjust the navigation engine to the expected application environment.,0 9,7
GPS_UBX_MODE,"Select the u-blox configuration setup. Most setups will use the default, including RTK and dual GPS without heading. The Heading mode requires 2 F9P devices to be attached. The main GPS will act as rover and output heading information, whereas the secondary will act as moving base. Modes 1 and 2 require each F9P UART1 to be connected to the Autopilot. In addition, UART2 on the F9P units are connected to each other. Modes 3 and 4 only require UART1 on each F9P connected to the Autopilot or Can Node. UART RX DMA is required. RTK is still possible with this setup.",0 1,0
GPS_YAW_OFFSET,Heading offset angle for dual antenna GPS setups that support heading estimation. Set this to 0 if the antennas are parallel to the forward-facing direction of the vehicle and the rover antenna is in front. The offset angle increases clockwise. Set this to 90 if the rover antenna is placed on the right side of the vehicle and the moving base antenna is on the left side.,0 360,0.
GF_ACTION,"Note: Setting this value to 4 enables flight termination, which will kill the vehicle on violation of the fence. Due to the inherent danger of this, this function is disabled using a software circuit breaker, which needs to be reset to 0 to really shut down the system.",0 5,2
GF_ALTMODE,Select which altitude (AMSL) source should be used for geofence calculations.,0 1,0
GF_COUNT,Set how many subsequent position measurements outside of the fence are needed before geofence violation is triggered,-1 10,-1
GF_MAX_HOR_DIST,Maximum horizontal distance in meters the vehicle can be from home before triggering a geofence action. Disabled if 0.,0 10000,0
GF_MAX_VER_DIST,Maximum vertical distance in meters the vehicle can be from home before triggering a geofence action. Disabled if 0.,0 10000,0
GF_PREDICT,"Predict the motion of the vehicle and trigger the breach if it is determined that the current trajectory would result in a breach happening before the vehicle can make evasive maneuvers. The vehicle is then re-routed to a safe hold position (stop for multirotor, loiter for fixed wing).",,1
GF_SOURCE,"Select which position source should be used. Selecting GPS instead of global position makes sure that there is no dependence on the position estimator 0 = global position, 1 = GPS",0 1,0
CA_AIRFRAME,"Defines which mixer implementation to use. Some are generic, while others are specifically fit to a certain vehicle with a fixed set of actuators. 'Custom' should only be used if noting else can be used.",,0
CA_METHOD,"Selects the algorithm and desaturation method. If set to Automtic, the selection is based on the airframe (CA_AIRFRAME).",,2
CA_R0_SLEW,"Minimum time allowed for the motor input signal to pass through the full output range. A value x means that the motor signal can only go from 0 to 1 in minimum x seconds (in case of reversible motors, the range is -1 to 1). Zero means that slew rate limiting is disabled.",0 10,0.0
CA_R1_SLEW,"Minimum time allowed for the motor input signal to pass through the full output range. A value x means that the motor signal can only go from 0 to 1 in minimum x seconds (in case of reversible motors, the range is -1 to 1). Zero means that slew rate limiting is disabled.",0 10,0.0
CA_R2_SLEW,"Minimum time allowed for the motor input signal to pass through the full output range. A value x means that the motor signal can only go from 0 to 1 in minimum x seconds (in case of reversible motors, the range is -1 to 1). Zero means that slew rate limiting is disabled.",0 10,0.0
CA_R3_SLEW,"Minimum time allowed for the motor input signal to pass through the full output range. A value x means that the motor signal can only go from 0 to 1 in minimum x seconds (in case of reversible motors, the range is -1 to 1). Zero means that slew rate limiting is disabled.",0 10,0.0
CA_R4_SLEW,"Minimum time allowed for the motor input signal to pass through the full output range. A value x means that the motor signal can only go from 0 to 1 in minimum x seconds (in case of reversible motors, the range is -1 to 1). Zero means that slew rate limiting is disabled.",0 10,0.0
CA_R5_SLEW,"Minimum time allowed for the motor input signal to pass through the full output range. A value x means that the motor signal can only go from 0 to 1 in minimum x seconds (in case of reversible motors, the range is -1 to 1). Zero means that slew rate limiting is disabled.",0 10,0.0
CA_R6_SLEW,"Minimum time allowed for the motor input signal to pass through the full output range. A value x means that the motor signal can only go from 0 to 1 in minimum x seconds (in case of reversible motors, the range is -1 to 1). Zero means that slew rate limiting is disabled.",0 10,0.0
CA_R7_SLEW,"Minimum time allowed for the motor input signal to pass through the full output range. A value x means that the motor signal can only go from 0 to 1 in minimum x seconds (in case of reversible motors, the range is -1 to 1). Zero means that slew rate limiting is disabled.",0 10,0.0
CA_ROTOR0_AX,Only the direction is considered (the vector is normalized).,-100 100,0.0
CA_ROTOR0_AY,Only the direction is considered (the vector is normalized).,-100 100,0.0
CA_ROTOR0_AZ,Only the direction is considered (the vector is normalized).,-100 100,-1.0
CA_ROTOR0_CT,"The thrust coefficient if defined as Thrust = CT * u^2, where u (with value between actuator minimum and maximum) is the output signal sent to the motor controller.",0 100,6.5
CA_ROTOR0_KM,The moment coefficient if defined as Torque = KM * Thrust. Use a positive value for a rotor with CCW rotation. Use a negative value for a rotor with CW rotation.,-1 1,0.05
CA_ROTOR0_PX,Position of rotor 0 along X body axis,-100 100,0.0
CA_ROTOR0_PY,Position of rotor 0 along Y body axis,-100 100,0.0
CA_ROTOR0_PZ,Position of rotor 0 along Z body axis,-100 100,0.0
CA_ROTOR0_TILT,"If not set to None, this motor is tilted by the configured tilt servo.",,0
CA_ROTOR1_AX,Only the direction is considered (the vector is normalized).,-100 100,0.0
CA_ROTOR1_AY,Only the direction is considered (the vector is normalized).,-100 100,0.0
CA_ROTOR1_AZ,Only the direction is considered (the vector is normalized).,-100 100,-1.0
CA_ROTOR1_CT,"The thrust coefficient if defined as Thrust = CT * u^2, where u (with value between actuator minimum and maximum) is the output signal sent to the motor controller.",0 100,6.5
CA_ROTOR1_KM,The moment coefficient if defined as Torque = KM * Thrust. Use a positive value for a rotor with CCW rotation. Use a negative value for a rotor with CW rotation.,-1 1,0.05
CA_ROTOR1_PX,Position of rotor 1 along X body axis,-100 100,0.0
CA_ROTOR1_PY,Position of rotor 1 along Y body axis,-100 100,0.0
CA_ROTOR1_PZ,Position of rotor 1 along Z body axis,-100 100,0.0
CA_ROTOR1_TILT,"If not set to None, this motor is tilted by the configured tilt servo.",,0
CA_ROTOR2_AX,Only the direction is considered (the vector is normalized).,-100 100,0.0
CA_ROTOR2_AY,Only the direction is considered (the vector is normalized).,-100 100,0.0
CA_ROTOR2_AZ,Only the direction is considered (the vector is normalized).,-100 100,-1.0
CA_ROTOR2_CT,"The thrust coefficient if defined as Thrust = CT * u^2, where u (with value between actuator minimum and maximum) is the output signal sent to the motor controller.",0 100,6.5
CA_ROTOR2_KM,The moment coefficient if defined as Torque = KM * Thrust. Use a positive value for a rotor with CCW rotation. Use a negative value for a rotor with CW rotation.,-1 1,0.05
CA_ROTOR2_PX,Position of rotor 2 along X body axis,-100 100,0.0
CA_ROTOR2_PY,Position of rotor 2 along Y body axis,-100 100,0.0
CA_ROTOR2_PZ,Position of rotor 2 along Z body axis,-100 100,0.0
CA_ROTOR2_TILT,"If not set to None, this motor is tilted by the configured tilt servo.",,0
CA_ROTOR3_AX,Only the direction is considered (the vector is normalized).,-100 100,0.0
CA_ROTOR3_AY,Only the direction is considered (the vector is normalized).,-100 100,0.0
CA_ROTOR3_AZ,Only the direction is considered (the vector is normalized).,-100 100,-1.0
CA_ROTOR3_CT,"The thrust coefficient if defined as Thrust = CT * u^2, where u (with value between actuator minimum and maximum) is the output signal sent to the motor controller.",0 100,6.5
CA_ROTOR3_KM,The moment coefficient if defined as Torque = KM * Thrust. Use a positive value for a rotor with CCW rotation. Use a negative value for a rotor with CW rotation.,-1 1,0.05
CA_ROTOR3_PX,Position of rotor 3 along X body axis,-100 100,0.0
CA_ROTOR3_PY,Position of rotor 3 along Y body axis,-100 100,0.0
CA_ROTOR3_PZ,Position of rotor 3 along Z body axis,-100 100,0.0
CA_ROTOR3_TILT,"If not set to None, this motor is tilted by the configured tilt servo.",,0
CA_ROTOR4_AX,Only the direction is considered (the vector is normalized).,-100 100,0.0
CA_ROTOR4_AY,Only the direction is considered (the vector is normalized).,-100 100,0.0
CA_ROTOR4_AZ,Only the direction is considered (the vector is normalized).,-100 100,-1.0
CA_ROTOR4_CT,"The thrust coefficient if defined as Thrust = CT * u^2, where u (with value between actuator minimum and maximum) is the output signal sent to the motor controller.",0 100,6.5
CA_ROTOR4_KM,The moment coefficient if defined as Torque = KM * Thrust. Use a positive value for a rotor with CCW rotation. Use a negative value for a rotor with CW rotation.,-1 1,0.05
CA_ROTOR4_PX,Position of rotor 4 along X body axis,-100 100,0.0
CA_ROTOR4_PY,Position of rotor 4 along Y body axis,-100 100,0.0
